sample_id,gloss,subset,session_id
yes_024,yes,train,20260609_213906
yes_025,yes,val,20260609_213906
yes_026,yes,train,20260609_213906
no_020,no,val,20260609_213906
no_021,no,train,20260609_213906
no_022,no,train,20260609_213906
no_023,no,train,20260609_213906
no_024,no,train,20260609_213906
no_025,no,val,20260609_213906
no_026,no,train,20260609_213906
hello_020,hello,val,20260609_213906
hello_021,hello,train,20260609_213906
hello_022,hello,train,20260609_213906
hello_023,hello,train,20260609_213906
hello_024,hello,train,20260609_213906
hello_025,hello,val,20260609_213906
hello_026,hello,train,20260609_213906
thanks_020,thanks,val,20260609_213906
thanks_021,thanks,train,20260609_213906
thanks_022,thanks,train,20260609_213906
thanks_023,thanks,train,20260609_213906
thanks_024,thanks,train,20260609_213906
thanks_025,thanks,val,20260609_213906
thanks_026,thanks,train,20260609_213906
please_020,please,val,20260609_213906
please_021,please,train,20260609_213906
please_022,please,train,20260609_213906
please_023,please,train,20260609_213906
please_024,please,train,20260609_213906
please_025,please,val,20260609_213906
please_026,please,train,20260609_213906
sorry_020,sorry,val,20260609_213906
sorry_021,sorry,train,20260609_213906
sorry_022,sorry,train,20260609_213906
sorry_023,sorry,train,20260609_213906
sorry_024,sorry,train,20260609_213906
sorry_025,sorry,val,20260609_213906
sorry_026,sorry,train,20260609_213906
want_020,want,val,20260609_213906
want_021,want,train,20260609_213906
want_022,want,train,20260609_213906
want_023,want,train,20260609_213906
want_024,want,train,20260609_213906
want_025,want,val,20260609_213906
want_026,want,train,20260609_213906
need_020,need,val,20260609_213906
need_021,need,train,20260609_213906
need_022,need,train,20260609_213906
need_023,need,train,20260609_213906
need_024,need,train,20260609_213906
need_025,need,val,20260609_213906
need_026,need,train,20260609_213906
help_020,help,val,20260609_213906
help_021,help,train,20260609_213906
help_022,help,train,20260609_213906
help_023,help,train,20260609_213906
help_024,help,train,20260609_213906
help_025,help,val,20260609_213906
help_026,help,train,20260609_213906
eat_020,eat,val,20260609_213906
eat_021,eat,train,20260609_213906
eat_022,eat,train,20260609_213906
eat_023,eat,train,20260609_213906
eat_024,eat,train,20260609_213906
eat_025,eat,val,20260609_213906
eat_026,eat,train,20260609_213906
drink_020,drink,val,20260609_213906
drink_021,drink,train,20260609_213906
drink_022,drink,train,20260609_213906
drink_023,drink,train,20260609_213906
drink_024,drink,train,20260609_213906
drink_025,drink,val,20260609_213906
drink_026,drink,train,20260609_213906
more_020,more,val,20260609_213906
more_021,more,train,20260609_213906
more_022,more,train,20260609_213906
more_023,more,train,20260609_213906
more_024,more,train,20260609_213906
more_025,more,val,20260609_213906
more_026,more,train,20260609_213906
good_020,good,val,20260609_213906
good_021,good,train,20260609_213906
good_022,good,train,20260609_213906
good_023,good,train,20260609_213906
good_024,good,train,20260609_213906
good_025,good,val,20260609_213906
good_026,good,train,20260609_213906
finished_020,finished,val,20260609_213906
finished_021,finished,train,20260609_213906
finished_022,finished,train,20260609_213906
finished_023,finished,train,20260609_213906
finished_024,finished,train,20260609_213906
finished_025,finished,val,20260609_213906
finished_026,finished,train,20260609_213906
you_020,you,val,20260609_213906
you_021,you,train,20260609_213906
you_022,you,train,20260609_213906
you_023,you,train,20260609_213906
you_024,you,train,20260609_213906
you_025,you,val,20260609_213906
you_026,you,train,20260609_213906
me_000,me,train,20260609_213906
me_001,me,train,20260609_213906
me_002,me,train,20260609_213906
me_003,me,train,20260609_213906
me_004,me,train,20260609_213906
me_005,me,val,20260609_213906
me_006,me,train,20260609_213906
nothing_040,nothing,val,20260609_213906
nothing_041,nothing,train,20260609_213906
nothing_042,nothing,train,20260609_213906
nothing_043,nothing,train,20260609_213906
nothing_044,nothing,train,20260609_213906
nothing_045,nothing,val,20260609_213906
nothing_046,nothing,train,20260609_213906
nothing_047,nothing,train,20260609_213906
nothing_048,nothing,train,20260609_213906
nothing_049,nothing,train,20260609_213906
nothing_050,nothing,val,20260609_213906
nothing_051,nothing,train,20260609_213906
nothing_052,nothing,train,20260609_213906
nothing_053,nothing,train,20260609_213906
yes_027,yes,train,20260609_220642
yes_028,yes,train,20260609_220642
yes_029,yes,train,20260609_220642
yes_030,yes,val,20260609_220642
yes_031,yes,train,20260609_220642
yes_032,yes,train,20260609_220642
yes_033,yes,train,20260609_220642
no_027,no,train,20260609_220642
no_028,no,train,20260609_220642
no_029,no,train,20260609_220642
no_030,no,val,20260609_220642
no_031,no,train,20260609_220642
no_032,no,train,20260609_220642
no_033,no,train,20260609_220642
hello_027,hello,train,20260609_220642
hello_028,hello,train,20260609_220642
hello_029,hello,train,20260609_220642
hello_030,hello,val,20260609_220642
hello_031,hello,train,20260609_220642
hello_032,hello,train,20260609_220642
hello_033,hello,train,20260609_220642
thanks_027,thanks,train,20260609_220642
thanks_028,thanks,train,20260609_220642
thanks_029,thanks,train,20260609_220642
thanks_030,thanks,val,20260609_220642
thanks_031,thanks,train,20260609_220642
thanks_032,thanks,train,20260609_220642
thanks_033,thanks,train,20260609_220642
please_027,please,train,20260609_220642
please_028,please,train,20260609_220642
please_029,please,train,20260609_220642
please_030,please,val,20260609_220642
please_031,please,train,20260609_220642
please_032,please,train,20260609_220642
please_033,please,train,20260609_220642
sorry_027,sorry,train,20260609_220642
sorry_028,sorry,train,20260609_220642
sorry_029,sorry,train,20260609_220642
sorry_030,sorry,val,20260609_220642
sorry_031,sorry,train,20260609_220642
sorry_032,sorry,train,20260609_220642
sorry_033,sorry,train,20260609_220642
want_027,want,train,20260609_220642
want_028,want,train,20260609_220642
want_029,want,train,20260609_220642
want_030,want,val,20260609_220642
want_031,want,train,20260609_220642
want_032,want,train,20260609_220642
want_033,want,train,20260609_220642
need_027,need,train,20260609_220642
need_028,need,train,20260609_220642
need_029,need,train,20260609_220642
need_030,need,val,20260609_220642
need_031,need,train,20260609_220642
need_032,need,train,20260609_220642
need_033,need,train,20260609_220642
help_027,help,train,20260609_220642
help_028,help,train,20260609_220642
help_029,help,train,20260609_220642
help_030,help,val,20260609_220642
help_031,help,train,20260609_220642
help_032,help,train,20260609_220642
help_033,help,train,20260609_220642
eat_027,eat,train,20260609_220642
eat_028,eat,train,20260609_220642
eat_029,eat,train,20260609_220642
eat_030,eat,val,20260609_220642
eat_031,eat,train,20260609_220642
eat_032,eat,train,20260609_220642
eat_033,eat,train,20260609_220642
drink_027,drink,train,20260609_220642
drink_028,drink,train,20260609_220642
drink_029,drink,train,20260609_220642
drink_030,drink,val,20260609_220642
drink_031,drink,train,20260609_220642
drink_032,drink,train,20260609_220642
drink_033,drink,train,20260609_220642
more_027,more,train,20260609_220642
more_028,more,train,20260609_220642
more_029,more,train,20260609_220642
more_030,more,val,20260609_220642
more_031,more,train,20260609_220642
more_032,more,train,20260609_220642
more_033,more,train,20260609_220642
good_027,good,train,20260609_220642
good_028,good,train,20260609_220642
good_029,good,train,20260609_220642
good_030,good,val,20260609_220642
good_031,good,train,20260609_220642
good_032,good,train,20260609_220642
good_033,good,train,20260609_220642
finished_027,finished,train,20260609_220642
finished_028,finished,train,20260609_220642
finished_029,finished,train,20260609_220642
finished_030,finished,val,20260609_220642
finished_031,finished,train,20260609_220642
finished_032,finished,train,20260609_220642
finished_033,finished,train,20260609_220642
you_027,you,train,20260609_220642
you_028,you,train,20260609_220642
you_029,you,train,20260609_220642
you_030,you,val,20260609_220642
you_031,you,train,20260609_220642
you_032,you,train,20260609_220642
you_033,you,train,20260609_220642
me_007,me,train,20260609_220642
me_008,me,train,20260609_220642
me_009,me,train,20260609_220642
me_010,me,val,20260609_220642
me_011,me,train,20260609_220642
me_012,me,train,20260609_220642
me_013,me,train,20260609_220642
nothing_054,nothing,train,20260609_220642
nothing_055,nothing,val,20260609_220642
nothing_056,nothing,train,20260609_220642
nothing_057,nothing,train,20260609_220642
nothing_058,nothing,train,20260609_220642
nothing_059,nothing,train,20260609_220642
nothing_060,nothing,val,20260609_220642
nothing_061,nothing,train,20260609_220642
nothing_062,nothing,train,20260609_220642
nothing_063,nothing,train,20260609_220642
nothing_064,nothing,train,20260609_220642
nothing_065,nothing,val,20260609_220642
nothing_066,nothing,train,20260609_220642
nothing_067,nothing,train,20260609_220642
me_014,me,train,20260709_162125
me_015,me,val,20260709_162125
me_016,me,train,20260709_162125
me_017,me,train,20260709_162125
me_018,me,train,20260709_162125
me_019,me,train,20260709_162125
me_020,me,val,20260709_162125
me_021,me,train,20260709_162154
me_022,me,train,20260709_162154
me_023,me,train,20260709_162154
me_024,me,train,20260709_162154
me_025,me,val,20260709_162154
me_026,me,train,20260709_162154
me_027,me,train,20260709_162154
me_028,me,train,20260709_162234
me_029,me,train,20260709_162234
me_030,me,val,20260709_162234
me_031,me,train,20260709_162234
me_032,me,train,20260709_162234
me_033,me,train,20260709_162234
